target_transform,label_fraction,train_rows_used,val_rows,test_rows,model_family,model_name,checkpoint_path,num_features,missing_keys_count,unexpected_keys_count,val_mae,val_rmse,val_r2,val_spearman,val_median_ae,test_mae,test_rmse,test_r2,test_spearman,test_median_ae
log1p_target,0.3,29516,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,961.8016357421875,2477.62646484375,0.13091760873794556,0.6377105782019854,266.21728515625,1217.824462890625,3040.0673828125,0.13084089756011963,0.6628951625979179,369.4197998046875
log1p_target,0.3,29516,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,976.7164306640625,2449.59130859375,0.1504741907119751,0.6282138310386904,292.30230712890625,1259.40869140625,3044.249267578125,0.12844806909561157,0.6501165518728064,404.529052734375
log1p_target,0.3,29516,133470,152488,baseline,mlp_regressor,,321,,,1149.3597412109375,3505.320556640625,-0.7395813465118408,0.6002391173868739,291.97906494140625,1906472.75,743890496.0,-52041637888.0,0.6366472354159015,378.4476013183594
log1p_target,0.3,29516,133470,152488,baseline,xgboost,,321,,,862.8524780273438,2339.0703125,0.22540301084518433,0.6923779784027505,223.9675750732422,1075.2235107421875,2879.032958984375,0.22048193216323853,0.733839959224186,275.4814453125
log1p_target,0.3,29516,133470,152488,baseline,lightgbm,,321,,,863.2273109030115,2345.7091276232277,0.2209997926969991,0.6947993866049734,220.9719191045723,1075.5538341570643,2883.8622135753108,0.21786461302787274,0.7351851343051056,280.40025870266913
log1p_target,0.3,29516,133470,152488,baseline,catboost,,321,,,889.4953082969771,2388.4024309793704,0.1923852042013101,0.685697849968343,231.44861710187115,1119.3928279455276,2944.3049010280783,0.18473558575326587,0.7237445852861,297.5593413836764
log1p_target,0.15,14758,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,983.5145874023438,2521.210205078125,0.10007286071777344,0.6218474050268807,281.7181396484375,1280.6456298828125,3145.403564453125,0.06956571340560913,0.6354637790682215,416.83428955078125
log1p_target,0.15,14758,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,995.4298706054688,2569.33251953125,0.0653911828994751,0.6045673446001399,274.41705322265625,1305.997802734375,3214.96630859375,0.02795630693435669,0.611519035324398,416.1976013183594
log1p_target,0.15,14758,133470,152488,baseline,mlp_regressor,,321,,,1104.49267578125,4178.013671875,-1.4713201522827148,0.5910174766218734,296.21826171875,738040335040512.0,inf,-inf,0.628844937841307,396.1456604003906
log1p_target,0.15,14758,133470,152488,baseline,xgboost,,321,,,885.73486328125,2368.6728515625,0.20567286014556885,0.6743307901730122,235.02169799804688,1100.559814453125,2913.41845703125,0.2017505168914795,0.7152690725214191,292.94317626953125
log1p_target,0.15,14758,133470,152488,baseline,lightgbm,,321,,,891.5001645166466,2380.8723284705457,0.1974696367360932,0.674207186160706,234.19932174031752,1113.2549281071588,2933.450270504815,0.19073569917210886,0.7146218762314379,299.32946134647113
log1p_target,0.15,14758,133470,152488,baseline,catboost,,321,,,913.8094865115427,2422.316361726478,0.16928704565988117,0.6712594077612667,243.15199903533266,1151.0581392200716,2984.2833820784513,0.1624455634461387,0.7079774292240116,314.5626666572741
log1p_target,0.1,9839,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,989.3683471679688,2551.625732421875,0.07822859287261963,0.6139379052547823,279.3475341796875,1295.522216796875,3186.68310546875,0.04498404264450073,0.62199460481684,408.890869140625
log1p_target,0.1,9839,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,996.3296508789062,2573.889892578125,0.062072694301605225,0.5964006275912966,281.27490234375,1304.64208984375,3224.310302734375,0.02229785919189453,0.6056094556083041,400.6820068359375
