iter	Passed	Remaining
1291	6806	8997
1292	6811	8991
1293	6816	8986
1294	6821	8981
1295	6826	8976
1296	6831	8970
1297	6837	8965
1298	6842	8959
1299	6847	8954
1300	6853	8949
1301	6858	8944
1302	6863	8938
1303	6868	8933
1304	6873	8928
1305	6879	8922
1306	6884	8917
1307	6890	8912
1308	6895	8907
1309	6900	8902
1310	6905	8896
1311	6910	8891
1312	6916	8886
1313	6921	8880
1314	6926	8875
1315	6931	8869
1316	6936	8864
1317	6941	8858
1318	6946	8853
1319	6952	8848
1320	6957	8842
1321	6962	8837
1322	6967	8831
1323	6973	8826
1324	6978	8821
1325	6983	8815
1326	6988	8810
1327	6993	8804
1328	6998	8798
1329	7003	8793
1330	7008	8788
1331	7013	8783
1332	7019	8777
1333	7024	8772
1334	7029	8767
1335	7034	8761
1336	7039	8756
1337	7045	8751
1338	7050	8746
1339	7055	8740
1340	7060	8735
1341	7065	8729
1342	7071	8724
1343	7076	8719
1344	7082	8714
1345	7087	8708
1346	7092	8703
1347	7097	8698
1348	7103	8693
1349	7108	8688
1350	7113	8682
1351	7118	8677
1352	7124	8672
1353	7129	8666
1354	7134	8661
1355	7139	8655
1356	7144	8650
1357	7149	8645
1358	7155	8639
1359	7160	8634
1360	7165	8628
1361	7170	8623
1362	7176	8618
1363	7181	8613
1364	7186	8608
1365	7192	8603
1366	7197	8598
1367	7202	8592
1368	7207	8587
1369	7213	8582
1370	7218	8576
1371	7223	8571
1372	7228	8565
1373	7233	8560
1374	7238	8555
1375	7244	8549
1376	7249	8544
1377	7254	8538
1378	7259	8533
1379	7265	8528
1380	7270	8523
1381	7275	8518
1382	7280	8512
1383	7286	8507
1384	7291	8502
1385	7296	8496
1386	7302	8491
1387	7307	8486
1388	7312	8481
1389	7317	8475
1390	7323	8470
1391	7327	8464
1392	7332	8459
1393	7337	8453
1394	7343	8448
1395	7348	8443
1396	7354	8438
1397	7359	8432
1398	7363	8427
1399	7369	8421
1400	7374	8416
1401	7379	8410
1402	7384	8405
1403	7389	8399
1404	7394	8394
1405	7400	8389
1406	7405	8384
1407	7410	8379
1408	7416	8374
1409	7421	8368
1410	7426	8363
1411	7431	8357
1412	7437	8352
1413	7442	8347
1414	7447	8342
1415	7452	8336
1416	7457	8331
1417	7462	8325
1418	7467	8320
1419	7473	8315
1420	7478	8309
1421	7483	8304
1422	7488	8298
1423	7493	8293
1424	7498	8288
1425	7503	8282
1426	7508	8277
1427	7514	8271
1428	7519	8266
1429	7524	8261
1430	7530	8256
1431	7535	8250
1432	7540	8245
1433	7545	8240
1434	7550	8234
1435	7556	8229
1436	7561	8224
1437	7566	8218
1438	7571	8213
1439	7576	8208
1440	7581	8202
1441	7586	8197
1442	7592	8191
1443	7597	8186
1444	7602	8181
1445	7607	8176
1446	7613	8170
1447	7618	8165
1448	7623	8160
1449	7628	8154
1450	7633	8149
1451	7639	8144
1452	7644	8139
1453	7649	8133
1454	7655	8128
1455	7660	8123
1456	7665	8117
1457	7670	8112
1458	7675	8107
1459	7681	8102
1460	7686	8096
1461	7691	8091
1462	7696	8085
1463	7701	8080
1464	7706	8075
1465	7712	8070
1466	7717	8064
1467	7722	8059
1468	7727	8053
1469	7732	8048
1470	7738	8043
1471	7743	8037
1472	7748	8032
1473	7753	8027
1474	7759	8022
1475	7764	8016
1476	7769	8011
1477	7774	8005
1478	7779	8000
1479	7784	7995
1480	7789	7989
1481	7795	7984
1482	7800	7979
1483	7805	7973
1484	7810	7968
1485	7815	7962
1486	7820	7957
1487	7826	7952
1488	7831	7946
1489	7836	7941
1490	7841	7936
1491	7847	7931
1492	7852	7925
1493	7857	7920
1494	7862	7915
1495	7868	7910
1496	7873	7904
1497	7878	7899
1498	7883	7893
1499	7888	7888
1500	7893	7882
1501	7898	7877
1502	7903	7872
1503	7909	7866
1504	7913	7861
1505	7919	7855
1506	7924	7850
1507	7929	7845
1508	7934	7840
1509	7939	7834
1510	7945	7829
1511	7950	7824
1512	7955	7818
1513	7960	7813
1514	7965	7808
1515	7970	7802
1516	7975	7797
1517	7981	7791
1518	7986	7786
1519	7991	7780
1520	7996	7775
1521	8001	7770
1522	8006	7764
1523	8011	7759
1524	8017	7754
1525	8022	7749
1526	8027	7743
1527	8032	7738
1528	8037	7732
1529	8042	7727
1530	8047	7722
1531	8053	7716
1532	8058	7711
1533	8063	7705
1534	8068	7700
1535	8073	7694
1536	8078	7689
1537	8083	7684
1538	8088	7678
1539	8093	7673
1540	8099	7668
1541	8104	7663
1542	8109	7657
1543	8115	7652
1544	8120	7647
1545	8125	7641
1546	8130	7636
1547	8135	7631
1548	8140	7625
1549	8146	7620
1550	8151	7615
1551	8156	7609
1552	8161	7604
1553	8166	7599
1554	8172	7594
1555	8177	7588
1556	8182	7583
1557	8187	7578
1558	8192	7572
1559	8198	7567
1560	8203	7562
1561	8208	7556
1562	8213	7551
1563	8218	7546
1564	8223	7540
1565	8228	7535
1566	8233	7529
1567	8239	7524
1568	8245	7520
1569	8250	7514
1570	8255	7509
1571	8260	7504
1572	8266	7499
1573	8271	7493
1574	8276	7488
1575	8281	7483
1576	8287	7478
1577	8292	7473
1578	8298	7467
1579	8303	7462
1580	8307	7456
1581	8313	7451
1582	8318	7446
1583	8323	7440
1584	8328	7435
1585	8333	7429
1586	8338	7424
1587	8343	7419
1588	8349	7413
1589	8354	7408
1590	8359	7403
1591	8364	7397
1592	8369	7392
1593	8374	7387
1594	8379	7381
1595	8385	7376
1596	8390	7371
1597	8395	7365
1598	8400	7360
1599	8406	7355
1600	8411	7350
1601	8416	7344
1602	8422	7339
1603	8427	7334
1604	8432	7329
1605	8437	7323
1606	8442	7318
1607	8447	7313
1608	8453	7307
1609	8458	7302
1610	8463	7297
1611	8469	7292
1612	8474	7286
1613	8479	7281
1614	8484	7276
1615	8489	7270
1616	8494	7265
1617	8499	7259
1618	8504	7254
1619	8509	7249
1620	8514	7243
1621	8519	7238
1622	8525	7232
1623	8529	7227
1624	8535	7222
1625	8540	7216
1626	8545	7211
1627	8550	7205
1628	8555	7200
1629	8560	7195
1630	8565	7189
1631	8571	7184
1632	8576	7179
1633	8581	7173
1634	8586	7168
1635	8591	7163
1636	8597	7158
1637	8602	7152
1638	8607	7147
1639	8612	7142
1640	8618	7137
1641	8623	7132
1642	8628	7126
1643	8633	7121
1644	8639	7116
1645	8644	7110
1646	8649	7105
1647	8654	7099
1648	8659	7094
1649	8664	7089
1650	8669	7083
1651	8675	7079
1652	8680	7073
1653	8686	7068
1654	8691	7063
1655	8696	7057
1656	8701	7052
1657	8706	7047
1658	8711	7041
1659	8717	7036
1660	8722	7031
1661	8727	7026
1662	8732	7020
1663	8738	7015
1664	8743	7010
1665	8748	7004
1666	8753	6999
1667	8758	6994
1668	8763	6988
1669	8769	6983
1670	8774	6978
1671	8779	6973
1672	8785	6968
1673	8789	6962
1674	8795	6957
1675	8800	6951
1676	8805	6946
1677	8810	6941
1678	8815	6936
1679	8821	6930
1680	8826	6925
